"NR_ANO_ELEICAO";"CD_PAIS";"NM_PAIS";"SG_REGIAO";"NM_REGIAO";"SG_UF";"NM_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"QTD_ELEITORES";"QTD_ELEITORES_FEMININO";"QTD_ELEITORES_MASCULINO";"QTD_ELEITORES_NAOINFORMADO";"QTD_ELEITORES_MENOR16";"QTD_ELEITORES_16";"QTD_ELEITORES_17";"QTD_ELEITORES_18";"QTD_ELEITORES_19";"QTD_ELEITORES_20";"QTD_ELEITORES_21A24";"QTD_ELEITORES_25A29";"QTD_ELEITORES_30A34";"QTD_ELEITORES_35A39";"QTD_ELEITORES_40A44";"QTD_ELEITORES_45A49";"QTD_ELEITORES_50A54";"QTD_ELEITORES_55A59";"QTD_ELEITORES_60A64";"QTD_ELEITORES_65A69";"QTD_ELEITORES_70A74";"QTD_ELEITORES_75A79";"QTD_ELEITORES_80A84";"QTD_ELEITORES_85A89";"QTD_ELEITORES_90A94";"QTD_ELEITORES_95A99";"QTD_ELEITORES_MAIORIGUAL100";"QTD_ELEITORES_IDADEINVALIDO";"QTD_ELEITORES_IDADENAOSEAPLICA";"QTD_ELEITORES_IDADENAOINFORMADA";"QTD_ELEITORES_COMBIOMETRIA";"QTD_ELEITORES_SEMBIOMETRIA";"QTD_ELEITORES_DEFICIENTE";"QUANTITATIVO_NOMESOCIAL"
"2014";"1";"Brasil";"N";"Norte";"AC";"Acre";"1120";"ACRELÂNDIA";"9144";"4338";"4806";"0";"0";"49";"116";"235";"246";"248";"1000";"1109";"1136";"1044";"828";"744";"645";"510";"426";"303";"212";"136";"80";"57";"16";"3";"0";"1";"0";"0";"57";"9087";"12";"0"
"2014";"1";"Brasil";"N";"Norte";"AC";"Acre";"1570";"ASSIS BRASIL";"5189";"2559";"2630";"0";"0";"49";"81";"127";"169";"177";"628";"723";"699";"593";"445";"374";"286";"249";"199";"160";"104";"61";"37";"20";"8";"0";"0";"0";"0";"0";"5163";"26";"10";"0"
"2014";"1";"Brasil";"N";"Norte";"AC";"Acre";"1058";"BRASILÉIA";"17131";"8441";"8690";"0";"0";"127";"259";"454";"441";"440";"1868";"2107";"2054";"1849";"1647";"1406";"1128";"885";"744";"549";"410";"310";"201";"152";"77";"16";"7";"0";"0";"0";"139";"16992";"22";"0"
"2014";"1";"Brasil";"N";"Norte";"AC";"Acre";"1007";"BUJARI";"6902";"3309";"3593";"0";"0";"60";"103";"177";"212";"177";"749";"865";"915";"816";"640";"541";"424";"396";"339";"220";"165";"63";"23";"12";"5";"0";"0";"0";"0";"0";"6886";"16";"7";"0"
"2014";"1";"Brasil";"N";"Norte";"AC";"Acre";"1015";"CAPIXABA";"6941";"3179";"3762";"0";"0";"54";"107";"185";"205";"183";"753";"794";"792";"766";"697";"606";"521";"424";"300";"204";"149";"101";"47";"38";"10";"4";"0";"1";"0";"0";"54";"6887";"23";"0"
"2014";"1";"Brasil";"N";"Norte";"AC";"Acre";"1074";"CRUZEIRO DO SUL";"51483";"26259";"25224";"0";"0";"692";"1055";"1545";"1537";"1641";"5982";"6858";"6985";"5548";"4582";"3556";"2731";"2336";"1889";"1418";"1126";"798";"565";"381";"216";"26";"13";"3";"0";"0";"75";"51408";"46";"0"
"2014";"1";"Brasil";"N";"Norte";"AC";"Acre";"1112";"EPITACIOLÂNDIA";"10412";"5247";"5165";"0";"0";"85";"134";"244";"278";"292";"1033";"1311";"1203";"1167";"1045";"862";"707";"525";"452";"326";"281";"199";"119";"95";"40";"7";"6";"1";"0";"0";"47";"10365";"21";"0"
"2014";"1";"Brasil";"N";"Norte";"AC";"Acre";"1139";"FEIJÓ";"18597";"9029";"9567";"1";"0";"225";"411";"562";"623";"566";"2193";"2399";"2293";"2019";"1601";"1348";"1068";"850";"672";"542";"437";"311";"237";"133";"86";"7";"7";"7";"0";"0";"22";"18575";"43";"0"
"2014";"1";"Brasil";"N";"Norte";"AC";"Acre";"1104";"JORDÃO";"4312";"1928";"2384";"0";"0";"88";"103";"174";"144";"149";"579";"619";"594";"463";"362";"271";"197";"157";"115";"85";"67";"40";"43";"35";"19";"2";"6";"0";"0";"0";"6";"4306";"0";"0"
"2014";"1";"Brasil";"N";"Norte";"AC";"Acre";"1554";"MANOEL URBANO";"5993";"2783";"3210";"0";"0";"67";"112";"194";"197";"188";"709";"807";"773";"634";"512";"406";"305";"291";"237";"163";"121";"109";"84";"53";"26";"2";"1";"2";"0";"0";"29";"5964";"11";"0"
"2014";"1";"Brasil";"N";"Norte";"AC";"Acre";"1040";"MARECHAL THAUMATURGO";"8799";"4062";"4737";"0";"0";"147";"199";"344";"325";"343";"1244";"1296";"1217";"883";"712";"500";"400";"336";"242";"187";"149";"119";"83";"34";"24";"8";"3";"4";"0";"0";"2";"8797";"1";"0"
"2014";"1";"Brasil";"N";"Norte";"AC";"Acre";"1090";"MÂNCIO LIMA";"10822";"5357";"5464";"1";"0";"205";"261";"339";"337";"345";"1260";"1471";"1506";"1150";"932";"657";"589";"507";"389";"275";"238";"155";"78";"67";"41";"17";"3";"0";"0";"0";"28";"10794";"17";"0"
"2014";"1";"Brasil";"N";"Norte";"AC";"Acre";"1511";"PLÁCIDO DE CASTRO";"12521";"5896";"6625";"0";"0";"101";"150";"324";"359";"307";"1294";"1491";"1514";"1302";"1150";"1018";"906";"690";"571";"446";"323";"230";"173";"104";"65";"3";"0";"0";"0";"0";"55";"12466";"31";"0"
"2014";"1";"Brasil";"N";"Norte";"AC";"Acre";"1023";"PORTO ACRE";"11435";"5377";"6057";"1";"0";"100";"143";"264";"324";"291";"1254";"1389";"1319";"1265";"1111";"924";"767";"713";"569";"394";"275";"162";"88";"56";"22";"4";"1";"0";"0";"0";"51";"11384";"49";"0"
"2014";"1";"Brasil";"N";"Norte";"AC";"Acre";"1066";"PORTO WALTER";"5445";"2528";"2917";"0";"0";"106";"113";"201";"183";"188";"750";"805";"825";"608";"447";"328";"264";"205";"160";"91";"80";"45";"29";"7";"8";"2";"0";"0";"0";"0";"5";"5440";"1";"0"
