"NR_ANO_ELEICAO";"CD_PAIS";"NM_PAIS";"SG_REGIAO";"NM_REGIAO";"SG_UF";"NM_UF";"CD_MUNICIPIO";"NM_MUNICIPIO";"QTD_ELEITORES";"QTD_ELEITORES_FEMININO";"QTD_ELEITORES_MASCULINO";"QTD_ELEITORES_NAOINFORMADO";"QTD_ELEITORES_MENOR16";"QTD_ELEITORES_16";"QTD_ELEITORES_17";"QTD_ELEITORES_18";"QTD_ELEITORES_19";"QTD_ELEITORES_20";"QTD_ELEITORES_21A24";"QTD_ELEITORES_25A29";"QTD_ELEITORES_30A34";"QTD_ELEITORES_35A39";"QTD_ELEITORES_40A44";"QTD_ELEITORES_45A49";"QTD_ELEITORES_50A54";"QTD_ELEITORES_55A59";"QTD_ELEITORES_60A64";"QTD_ELEITORES_65A69";"QTD_ELEITORES_70A74";"QTD_ELEITORES_75A79";"QTD_ELEITORES_80A84";"QTD_ELEITORES_85A89";"QTD_ELEITORES_90A94";"QTD_ELEITORES_95A99";"QTD_ELEITORES_MAIORIGUAL100";"QTD_ELEITORES_IDADEINVALIDO";"QTD_ELEITORES_IDADENAOSEAPLICA";"QTD_ELEITORES_IDADENAOINFORMADA";"QTD_ELEITORES_COMBIOMETRIA";"QTD_ELEITORES_SEMBIOMETRIA";"QTD_ELEITORES_DEFICIENTE";"QUANTITATIVO_NOMESOCIAL"
"2016";"1";"Brasil";"N";"Norte";"AC";"Acre";"1120";"ACRELÂNDIA";"9506";"4526";"4980";"0";"0";"111";"168";"199";"218";"257";"1007";"1133";"1106";"1086";"876";"738";"662";"554";"472";"353";"222";"145";"103";"60";"31";"3";"1";"1";"0";"0";"3358";"6148";"24";"0"
"2016";"1";"Brasil";"N";"Norte";"AC";"Acre";"1570";"ASSIS BRASIL";"5505";"2752";"2753";"0";"0";"67";"84";"134";"141";"157";"656";"754";"707";"626";"511";"409";"333";"246";"230";"180";"126";"70";"39";"22";"12";"1";"0";"0";"0";"0";"5487";"18";"11";"0"
"2016";"1";"Brasil";"N";"Norte";"AC";"Acre";"1058";"BRASILÉIA";"17613";"8775";"8838";"0";"0";"159";"257";"352";"424";"484";"1843";"2157";"1999";"1930";"1673";"1485";"1225";"908";"807";"622";"405";"347";"238";"158";"102";"32";"6";"0";"0";"0";"7191";"10422";"50";"0"
"2016";"1";"Brasil";"N";"Norte";"AC";"Acre";"1007";"BUJARI";"7888";"3833";"4055";"0";"0";"116";"178";"219";"223";"227";"826";"943";"955";"941";"725";"639";"485";"419";"396";"253";"185";"100";"35";"17";"6";"0";"0";"0";"0";"0";"7871";"17";"14";"0"
"2016";"1";"Brasil";"N";"Norte";"AC";"Acre";"1015";"CAPIXABA";"7882";"3643";"4239";"0";"0";"129";"230";"209";"215";"217";"815";"849";"839";"826";"789";"665";"606";"465";"356";"262";"160";"128";"60";"39";"19";"1";"3";"0";"0";"0";"2406";"5476";"57";"0"
"2016";"1";"Brasil";"N";"Norte";"AC";"Acre";"1074";"CRUZEIRO DO SUL";"54101";"27740";"26361";"0";"0";"879";"1325";"1683";"1713";"1730";"6100";"6797";"6760";"6129";"4827";"3793";"3027";"2425";"1970";"1560";"1178";"895";"571";"385";"274";"63";"15";"2";"0";"0";"12827";"41274";"60";"0"
"2016";"1";"Brasil";"N";"Norte";"AC";"Acre";"1112";"EPITACIOLÂNDIA";"11559";"5836";"5723";"0";"0";"145";"191";"288";"301";"320";"1155";"1385";"1309";"1225";"1132";"948";"785";"620";"510";"391";"300";"231";"147";"104";"49";"16";"6";"1";"0";"0";"2120";"9439";"31";"0"
"2016";"1";"Brasil";"N";"Norte";"AC";"Acre";"1139";"FEIJÓ";"19739";"9595";"10143";"1";"0";"233";"486";"592";"605";"627";"2351";"2466";"2313";"2202";"1701";"1474";"1086";"932";"725";"621";"439";"371";"219";"167";"90";"27";"6";"6";"0";"0";"6601";"13138";"61";"0"
"2016";"1";"Brasil";"N";"Norte";"AC";"Acre";"1104";"JORDÃO";"4724";"2159";"2565";"0";"0";"104";"179";"203";"175";"179";"622";"657";"565";"527";"382";"290";"211";"170";"137";"91";"65";"50";"29";"47";"18";"15";"7";"1";"0";"0";"51";"4673";"1";"0"
"2016";"1";"Brasil";"N";"Norte";"AC";"Acre";"1554";"MANOEL URBANO";"6711";"3147";"3564";"0";"0";"142";"179";"195";"206";"226";"792";"819";"809";"713";"610";"437";"368";"332";"260";"175";"141";"107";"97";"56";"38";"5";"3";"1";"0";"0";"799";"5912";"11";"0"
